epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,4451.83,0.948,0.46084,1.10541,1,0.94834,0.9696,0.68729,1.12508,0.46571,1.30506,0.000428093,0.000428093,0.000428093
107,4493.71,0.96083,0.45686,1.11113,1,0.94931,0.955,0.67522,1.12632,0.47309,1.30737,0.000411447,0.000411447,0.000411447
108,4534.49,0.98173,0.47642,1.12635,1,0.95005,0.955,0.65949,1.20105,0.47711,1.38364,0.000395064,0.000395064,0.000395064
109,4576.15,0.94862,0.45275,1.09209,1,0.94923,0.955,0.66637,1.21388,0.47441,1.40464,0.00037895,0.00037895,0.00037895
110,4616.81,0.89393,0.45713,1.05736,1,0.94882,0.955,0.66936,1.16857,0.46387,1.36009,0.000363114,0.000363114,0.000363114
111,4658.91,0.9567,0.47979,1.14533,1,0.94868,0.97204,0.69639,1.18972,0.45844,1.37595,0.000347561,0.000347561,0.000347561
112,4700.03,0.91132,0.45332,1.13188,0.95817,0.99607,0.99333,0.65706,1.27564,0.47591,1.43968,0.000332298,0.000332298,0.000332298
113,4741.02,0.91348,0.46085,1.08186,1,0.9489,0.955,0.63988,1.31065,0.4774,1.46831,0.000317333,0.000317333,0.000317333
114,4783.17,0.91585,0.44812,1.11889,1,0.94839,0.955,0.65364,1.30308,0.46674,1.45471,0.000302672,0.000302672,0.000302672
115,4828.14,0.89365,0.44443,1.09025,1,0.94715,0.955,0.65428,1.27127,0.47682,1.43807,0.000288321,0.000288321,0.000288321
116,4878.77,0.86179,0.43535,1.0528,1,0.94443,0.955,0.67216,1.24554,0.48416,1.42574,0.000274287,0.000274287,0.000274287
117,4935.9,0.85519,0.43969,1.05523,1,0.94103,0.955,0.66707,1.25658,0.48251,1.44246,0.000260575,0.000260575,0.000260575
